Month,Revenue,Profit,Quantity_Sold,Transactions,Profit_Margin,Growth_Rate
2023-01,476092.36,-6296526.1,2472,100,-13.225429830463987,
2023-02,368919.36,-4780505.01,2064,75,-12.958129955554515,-0.22510968249942087
2023-03,402638.77,-5076988.83,2069,80,-12.609289537617055,0.09140048925597188
2023-04,438992.61,-4533498.19,1977,81,-10.327048990642464,0.09028897043372153
2023-05,389078.76,-4922075.6,1968,72,-12.650589304849229,-0.11370088895118302
2023-06,418458.34,-5118110.69,2276,92,-12.230872707663085,0.07551062412145049
2023-07,374242.88,-3929510.78,1603,68,-10.499894560452292,-0.10566275247375889
2023-08,443171.28,-5714601.64,2336,93,-12.894792370119289,0.1841809254995046
2023-09,367837.6,-3716237.46,1815,68,-10.102929825553451,-0.1699877302518341
2023-10,460378.77999999997,-5515547.78,2386,88,-11.980456136575192,0.25158162188966005
2023-11,467482.9,-3933635.23,2129,95,-8.414500787087613,0.015431032681393564
2023-12,392643.58,-5267201.66,2183,85,-13.414714841383628,-0.16008996264890119
2024-01,19328.01,-18389.44,77,3,-0.9514399050911088,-0.9507746694852365
